State,Capital,Latitude,Longitude
Abia,Umuahia,5.5333,7.4833
Adamawa,Yola,9.2000,12.4833
Akwa Ibom,Uyo,5.0500,7.9333
Anambra,Awka,6.2167,7.0667
Bauchi,Bauchi,10.3167,9.8333
Bayelsa,Yenagoa,4.9269,6.2642
Benue,Makurdi,7.7333,8.5333
Borno,Maiduguri,11.8333,13.1500
Cross River,Calabar,4.9500,8.3250
Delta,Asaba,6.2000,6.7333
Ebonyi,Abakaliki,6.3333,8.1000
Edo,Benin City,6.3333,5.6167
Ekiti,Ado-Ekiti,7.6167,5.2167
Enugu,Enugu,6.4403,7.4939
FCT,Abuja,9.0765,7.3986
Gombe,Gombe,10.2833,11.1667
Imo,Owerri,5.4833,7.0333
Jigawa,Dutse,11.7000,9.3333
Kaduna,Kaduna,10.5167,7.4333
Kano,Kano,12.0000,8.5167
Katsina,Katsina,12.9833,7.6000
Kebbi,Birnin Kebbi,12.4500,4.2000
Kogi,Lokoja,7.8023,6.7333
Kwara,Ilorin,8.5000,4.5500
Lagos,Ikeja,6.6058,3.3494
Nasarawa,Lafia,8.4833,8.5167
Niger,Minna,9.6167,6.5500
Ogun,Abeokuta,7.1500,3.3500
Ondo,Akure,7.2500,5.2000
Osun,Osogbo,7.7667,4.5667
Oyo,Ibadan,7.3776,3.9470
Plateau,Jos,9.9333,8.8833
Rivers,Port Harcourt,4.7500,7.0000
Sokoto,Sokoto,13.0667,5.2333
Taraba,Jalingo,8.9000,11.3667
Yobe,Damaturu,11.7500,11.9667
Zamfara,Gusau,12.1667,6.6667
